CustomerId,Customer_Surname,Age,Balance,Bank DOJ,Category,CreditScore,EstimatedSalary,ExitCategory,GenderCategory,GeographyLocation,NumOfProducts,Tenure
15790093,Aguirre,27,0,2016-01-01 00:00:00,credit card holder,627,125451.01,Retain,Female,France,2,7
15786433,Aitken,35,165982.43,2016-01-01 00:00:00,credit card holder,650,24482.16,Retain,Female,Germany,2,7
15723671,Lucciano,35,100107.99,2016-01-01 00:00:00,credit card holder,661,83949.68,Retain,Male,France,1,7
15593365,Shih,39,81273.13,2016-01-01 00:00:00,credit card holder,762,18719.67,Retain,Male,Spain,1,7
15635500,Seleznyov,75,61319.63,2016-01-01 00:00:00,non credit card holder,605,186655.11,Retain,Male,Germany,1,7
15734202,Chidimma,52,86891.84,2016-01-02 00:00:00,credit card holder,660,90877.76,Retain,Female,Germany,1,7
15626135,Combes,34,165312.27,2016-01-02 00:00:00,credit card holder,689,155495.63,Retain,Male,France,1,7
15663921,Pisani,60,0,2016-01-02 00:00:00,credit card holder,429,163691.48,Retain,Male,France,2,7
15769522,O'Connor,51,118537.47,2016-01-05 00:00:00,credit card holder,734,116912.45,Retain,Male,France,1,7
15810385,Giordano,36,164557.95,2016-01-05 00:00:00,non credit card holder,717,82336.73,Retain,Female,Spain,1,7
15643574,Odinakachukwu,26,0,2016-01-07 00:00:00,credit card holder,682,178373.43,Retain,Male,France,2,7
15610711,Eluemuno,40,128644.46,2016-01-07 00:00:00,non credit card holder,678,167673.37,Retain,Female,Germany,1,7
15668081,Capon,50,0,2016-01-08 00:00:00,credit card holder,581,80701.72,Retain,Female,Spain,2,7
15609977,Mundy,47,71026.77,2016-01-08 00:00:00,credit card holder,587,57962.41,Retain,Male,France,1,7
15770995,Sinclair,47,131160.85,2016-01-08 00:00:00,credit card holder,753,197444.69,Retain,Female,Germany,1,7
15636912,Sneddon,38,124483.53,2016-01-08 00:00:00,credit card holder,678,126253.31,Retain,Male,Spain,1,7
15807900,Chineze,36,0,2016-01-10 00:00:00,credit card holder,575,55868.97,Exit,Male,France,1,7
15800412,Dale,35,146780.52,2016-01-10 00:00:00,credit card holder,458,3476.38,Retain,Male,Germany,2,7
15744717,Duffy,44,0,2016-01-10 00:00:00,credit card holder,726,26733.86,Retain,Female,France,2,7
15607713,Kaeppel,29,0,2016-01-10 00:00:00,credit card holder,850,197996.65,Retain,Female,Spain,2,7
15731511,Ritchie,45,118626.55,2016-01-10 00:00:00,credit card holder,808,147132.46,Retain,Male,France,2,7
15797748,Lu,44,0,2016-01-10 00:00:00,non credit card holder,729,9200.54,Retain,Male,France,2,7
15566292,Okwuadigbo,36,0,2016-01-10 00:00:00,non credit card holder,574,71709.12,Retain,Male,Spain,2,7
15770576,Hammond,50,128061,2016-01-12 00:00:00,credit card holder,555,62375.1,Retain,Male,Spain,2,7
15761733,King,42,0,2016-01-12 00:00:00,credit card holder,707,152944.39,Retain,Female,France,2,7
15709016,North,47,91219.29,2016-01-12 00:00:00,non credit card holder,687,158845.49,Exit,Female,Germany,1,7
15642530,Coates,47,144090.42,2016-01-13 00:00:00,credit card holder,706,140938.95,Exit,Female,Germany,1,7
15776124,Mann,51,0,2016-01-13 00:00:00,non credit card holder,802,40855.79,Retain,Male,Spain,1,7
15683053,Reyna,48,0,2016-01-14 00:00:00,credit card holder,809,160976.85,Exit,Female,Spain,1,7
15693864,Iheanacho,49,134956.02,2016-01-15 00:00:00,credit card holder,567,93953.84,Exit,Female,Germany,1,7
15762682,Mitchell,35,111827.27,2016-01-15 00:00:00,credit card holder,709,12674.68,Retain,Female,Spain,2,7
15691111,Pai,42,121980.56,2016-01-15 00:00:00,credit card holder,648,4027.02,Retain,Female,Germany,2,7
15576550,Ugochukwu,38,0,2016-01-15 00:00:00,credit card holder,619,112442.63,Exit,Female,Spain,1,7
15749365,Earle,34,0,2016-01-15 00:00:00,non credit card holder,543,145601.8,Retain,Female,France,2,7
15708422,Hsiung,35,0,2016-01-15 00:00:00,non credit card holder,677,76637.38,Retain,Female,Spain,2,7
15794468,Tsou,42,0,2016-01-15 00:00:00,non credit card holder,641,121138.77,Retain,Female,France,2,7
15600106,Wei,36,0,2016-01-15 00:00:00,non credit card holder,631,133141.34,Retain,Male,France,2,7
15769499,Lampungmeiua,74,0,2016-01-16 00:00:00,credit card holder,545,161326.73,Retain,Female,Spain,2,7
15814816,Kambinachi,40,91592.06,2016-01-17 00:00:00,credit card holder,466,141210.18,Exit,Male,France,1,7
15684173,Chang,44,0,2016-01-18 00:00:00,credit card holder,687,155853.52,Exit,Female,Spain,3,7
15634180,Holden,26,97268.1,2016-01-18 00:00:00,credit card holder,729,39356.38,Retain,Male,Germany,2,7
15742824,Isayeva,42,162318.61,2016-01-18 00:00:00,credit card holder,696,121061.89,Retain,Male,Germany,1,7
15713983,Mao,34,94108.54,2016-01-18 00:00:00,credit card holder,780,177235.21,Retain,Male,Germany,2,7
15733234,Moretti,58,0,2016-01-18 00:00:00,credit card holder,777,62449.07,Exit,Female,France,1,7
15617065,Pan,42,194532.66,2016-01-18 00:00:00,credit card holder,650,171045.31,Exit,Male,Spain,1,7
15624391,Thomson,30,100683.54,2016-01-18 00:00:00,credit card holder,595,178361.04,Retain,Female,Spain,1,7
15724321,Baresi,47,128298.74,2016-01-18 00:00:00,non credit card holder,516,149614.17,Exit,Female,Germany,1,7
15726747,Donaldson,63,138082.16,2016-01-18 00:00:00,non credit card holder,714,166677.54,Retain,Male,France,1,7
